var;schldone
male;0.1843596
mother;-0.1844019
father;-0.1823828
age18;-0.108407946193924
age19;0.376351053806076
age20;0.832675453806076
age21;0.849631253806076
age22;1.13566135380608
age23;1.33625495380608
age24;1.23257595380608
age25;1.08433175380608
age26;0.960907453806076
age27;1.06736225380608
age28;1.02314845380608
age29;1.00340965380608
age30;0.875271253806076
age31;0.994532053806076
age32;1.36367115380608
age33;1.52000045380608
age34;1.95556965380608
age35;2.40450175380608
constant;-3.17359685918668
