var;tx_em
age04;3.58946660141008
age59;2.55661746802557
age1014;1.79357739451037
age1519;1.37371022674444
age2024;3.08508092077354
age2529;5.02971649063412
age3034;4.89636533908808
age3539;3.73746662702638
age4044;2.71979397740812
age4549;1.99469749808441
age5054;1.38164802182396
age5559;0.992392144342116
age6064;0.844597162717204
age6569;0.820121023033331
age7074;0.638388936283234
age7579;0.645783914091796
age8084;0.619330383155131
age8589;0.550628871775511
age90p;0.408477436743154
