var;val_men;val_women
age;5.873656;2.84779
age_p2;-.06912;-.0248041
age_p3;.0002764;.0000722
male;-62.15326;0
cut1;106.1821;106.1821
cut2;106.8291;106.8291
cut3;107.2691;107.2691
cut4;107.741;107.741
cut5;108.0688;108.0688
cut6;108.6486;108.6486
cut7;108.8306;108.8306
cut8;109.0802;109.0802
cut9;109.3288;109.3288
cut10;109.3634;109.3634
