var;kid1;kid2;kid3
"dage2529";.5116954;.1957865;-.1803022
"dage3034";.0205498;-.0126723;-.8055
"dage35p";-.8581867;-.855547;-1.660946
"lkidage";0;-.0926787;-.0296749
"insch";-1.039765;.1720892;.4883969
"des";-.2211994;.2213371;.0711729
"dec";-.1219525;.2150667;.2833599
"uni";-.1757571;.4618315;.7807941
"constant";-2.525909;-1.662758;-2.306403
