var;kid1;kid2;kid3
"dage2529";.5111452;.20215;-.1745108
"dage3034";.0206863;.0036399;-.7896601
"dage3539";-.8569678;-.8245546;-1.621034
"dage40p";-1.939295;-2.335598;-3.388722
"lkidage";0;-.0990092;-.0377307
"insch";-1.025785;.1545281;.4842334
"des";-.223628;.1972002;.0498862
"dec";-.1165148;.1987852;.2902924
"uni";-.1596642;.4500001;.8004084
"constant";-2.532843;-1.634364;-2.288871
