var;less_than_des;dec;uni
male;0.4109254;-0.1903194;-0.598743
mother;0.3175561;0.1701071;-1.069101
father;-0.609737;-0.4239408;-0.6886936
age18;2.58159645698582;2.690612;1.869661
age19;2.18569202168081;3.059978;2.893812
age20;-35.5138123379092;3.130824;4.12123
age21;-34.2391511434722;3.511785;5.735242
age22;-33.5075648653302;3.371476;6.746788
age23;-34.037451662962;2.757136;6.949233
age24;-17.3182;2.716295;7.074749
age25;-17.61768;2.450157;6.606506
age26;-17.54228;2.603722;6.729406
age27;-17.24215;3.019883;6.780705
age28;-17.15689;3.166666;6.964613
age29;-17.36636;2.611414;7.116511
age30;-17.80625;2.164101;6.389815
age31;-17.61045;2.349073;6.831842
age32;-17.37271;2.690948;6.951545
age33;-16.91294;3.378665;7.389623
age34;-1.566118;2.703367;6.273524
age35;-2.355427;2.269934;6.415809
constant;-0.1335841;-1.66927493102828;-5.0194862873237
