var;val_men;val_women
age;.127552;.1895888
age_p2;0;0
age_p3;0;0
male;5.756953;0
cut1;15.2586;15.2586
cut2;15.90002;15.90002
cut3;16.33794;16.33794
cut4;16.80957;16.80957
cut5;17.13801;17.13801
cut6;17.7199;17.7199
cut7;17.90251;17.90251
cut8;18.15286;18.15286
cut9;18.40179;18.40179
cut10;18.4364;18.4364
